day_of_week,driver_age,driver_sex,educational_level,driving_experience,vehicle_type,vehicle_owner,service_year,accident_area,lanes,road_allignment,junction_type,surface_type,road_surface_conditions,light_condition,weather_condition,collision_type,vehicles_involved,casualties,vehicle_movement,casualty_class,casualty_sex,casualty_age,casualty_severity,pedestrian_movement,accident_cause,hour,minute
3,2,2,2,3,6,4,6,8,5,6,8,1,1,4,3,9,1,1,5,4,3,6,4,6,13,10,59
7,2,2,3,1,8,4,6,7,5,6,6,1,1,4,3,9,2,1,4,1,2,1,3,6,1,18,21
3,1,2,5,3,15,4,3,7,3,7,8,3,4,1,5,7,2,2,4,4,3,6,4,6,4,18,56
5,1,2,5,2,12,4,3,8,5,6,8,1,4,4,5,9,2,1,3,4,3,6,4,6,11,9,22
1,4,2,5,6,1,4,3,3,3,6,2,1,1,4,3,9,2,1,3,4,3,6,4,6,17,20,12
5,1,2,5,3,9,4,3,7,5,6,2,4,1,4,3,9,3,4,3,3,2,4,2,2,4,18,20
5,1,2,5,2,6,4,3,8,5,6,8,1,1,4,3,9,2,3,8,1,2,2,3,6,18,18,31
7,1,2,5,3,11,4,6,8,3,6,8,1,1,4,3,9,2,2,3,4,3,6,4,6,4,14,25
4,2,2,5,5,1,4,6,8,1,4,2,1,1,4,3,9,2,2,4,1,2,4,3,6,11,20,1
6,2,2,2,3,1,4,6,2,2,6,2,1,1,1,3,9,3,2,12,3,1,2,3,7,1,23,11
4,2,2,5,5,1,4,6,8,3,6,2,1,4,4,9,3,1,1,1,1,1,1,3,6,10,12,46
6,3,2,3,2,4,4,6,3,3,6,8,1,1,4,3,9,3,1,3,1,2,1,3,6,1,16,11
7,2,2,5,4,9,1,2,2,3,6,2,1,4,4,5,9,2,3,3,4,3,6,4,6,11,14,17
3,4,2,5,3,1,4,6,8,3,6,2,1,1,4,3,7,2,1,3,4,3,6,4,6,11,17,36
7,1,2,5,2,5,4,2,8,5,6,8,1,1,4,3,9,2,1,10,1,2,1,3,6,2,15,35
7,3,2,5,3,1,4,6,2,5,6,2,1,1,4,3,9,2,2,3,4,3,6,4,6,11,15,31
1,2,2,2,3,1,4,6,8,5,6,2,1,4,4,5,9,2,1,8,3,2,4,3,3,11,10,11
7,2,2,5,3,1,4,4,10,7,6,1,1,1,4,3,3,2,1,3,4,3,6,4,6,4,17,12
2,3,2,2,4,8,4,4,10,7,6,8,1,4,4,5,9,2,1,3,4,3,6,4,6,11,10,56
3,2,2,5,3,1,1,6,7,5,6,8,1,1,1,3,9,2,2,3,1,2,2,3,6,9,21,40
1,5,1,5,3,9,4,6,5,5,6,8,3,1,4,3,9,2,1,3,4,3,6,4,6,4,10,41
4,2,2,5,5,6,4,4,10,3,6,8,1,1,4,3,9,2,1,3,4,3,6,4,6,11,14,3
4,1,2,5,3,8,4,2,10,3,6,4,1,4,1,5,9,2,2,5,1,2,1,3,6,1,18,46
6,3,2,2,3,7,4,6,5,5,6,8,1,1,4,3,9,2,1,5,4,3,6,4,6,10,18,30
7,5,2,1,4,10,4,6,3,1,6,8,3,1,1,3,9,2,1,3,2,1,4,3,6,11,19,31
7,2,2,5,5,6,4,6,7,2,6,1,1,1,4,3,2,2,4,3,3,2,3,2,6,1,21,41
3,5,1,5,3,8,4,6,10,3,6,2,1,1,1,3,9,4,1,3,4,3,6,4,6,2,23,56
2,2,2,5,3,1,2,3,4,5,8,8,1,4,4,3,3,2,2,3,1,2,2,3,6,6,15,11
2,3,2,5,2,9,4,2,10,2,6,1,1,1,4,3,9,2,1,3,2,2,1,3,6,8,17,51
4,3,2,5,3,11,4,3,4,7,4,8,1,1,4,3,1,3,2,3,4,3,6,4,6,1,15,34
3,3,2,2,5,11,1,6,10,3,6,8,1,1,4,3,9,2,3,3,2,1,4,3,6,10,19,1
1,5,2,5,3,1,4,6,10,3,6,2,1,1,4,3,9,2,2,3,3,1,2,3,7,11,19,58
3,2,2,5,1,6,4,6,7,5,6,8,1,1,4,3,2,2,1,3,4,3,6,4,6,12,15,1
5,5,1,5,2,9,4,6,7,7,8,8,1,1,4,8,9,1,1,3,4,3,6,4,6,2,20,39
3,5,3,5,3,1,4,4,5,5,6,8,1,4,1,3,9,2,1,3,3,2,5,3,7,11,14,11
1,3,2,5,5,9,4,3,3,5,4,8,1,1,4,3,1,3,2,3,1,1,4,3,6,1,13,6
6,2,2,5,5,1,4,6,8,1,6,2,1,1,4,3,7,1,1,1,1,2,1,3,6,1,10,11
1,2,2,5,1,7,4,6,7,3,6,2,1,1,4,3,9,2,1,5,4,3,6,4,6,10,14,36
1,3,2,5,4,1,4,2,8,3,6,2,1,1,4,3,9,2,2,11,4,3,6,4,6,1,15,28
4,4,2,5,3,1,4,2,7,1,6,2,1,1,4,3,9,2,1,10,4,3,6,4,6,4,19,23
5,3,2,5,5,8,4,6,7,5,6,8,1,1,4,3,9,2,1,3,4,3,6,4,6,2,17,9
